ticket_id,user_id,order_id,issue_type,description,status,priority,created_at,resolved_at
TICKET_1762403505,user_015,ORD_20251214_0014,exchange,색상 교환하고 싶습니다.,in_progress,normal,2025-11-06T04:31:45.091709Z,
TICKET_1764822705,user_049,,shipping,배송이 너무 오래 걸립니다.,closed,urgent,2025-12-04T04:31:45.091709Z,2025-12-07T04:31:45.091709Z
TICKET_1763613105,user_041,,order_inquiry,주문 내역 확인해주세요.,open,low,2025-11-20T04:31:45.091709Z,
TICKET_1761971505,user_070,ORD_20251109_0454,shipping,배송 조회가 안 됩니다.,open,urgent,2025-11-01T04:31:45.091709Z,
TICKET_1763181105,user_019,ORD_20251112_0436,refund,상품 불량으로 환불 요청합니다.,closed,high,2025-11-15T04:31:45.091709Z,2025-11-16T04:31:45.091709Z
TICKET_1763785905,user_091,,shipping,배송 조회가 안 됩니다.,closed,low,2025-11-22T04:31:45.091709Z,2025-11-28T04:31:45.091709Z
TICKET_1761798705,user_043,,refund,단순 변심으로 환불하고 싶습니다.,open,low,2025-10-30T04:31:45.091709Z,
TICKET_1762489905,user_100,,refund,사이즈가 맞지 않아 환불 신청합니다.,closed,low,2025-11-07T04:31:45.091709Z,2025-11-09T04:31:45.091709Z
TICKET_1762317105,user_045,ORD_20251112_0176,product_inquiry,소재가 무엇인가요?,closed,high,2025-11-05T04:31:45.091709Z,2025-11-06T04:31:45.091709Z
TICKET_1762317105,user_025,ORD_20251219_0465,refund,주문한 상품과 다른 상품이 와서 환불 원합니다.,open,high,2025-11-05T04:31:45.091709Z,
TICKET_1764909105,user_021,ORD_20251019_0444,refund,사이즈가 맞지 않아 환불 신청합니다.,open,normal,2025-12-05T04:31:45.091709Z,
TICKET_1764477105,user_026,,product_inquiry,이 상품 재입고 언제 되나요?,open,normal,2025-11-30T04:31:45.091709Z,
TICKET_1764563505,user_056,ORD_20251026_0017,complaint,고객센터 연결이 안 됩니다.,open,low,2025-12-01T04:31:45.091709Z,
TICKET_1765686705,user_067,ORD_20251109_0440,exchange,다른 상품으로 교환 가능한가요?,in_progress,normal,2025-12-14T04:31:45.091709Z,
TICKET_1765513905,user_031,ORD_20251027_0471,shipping,택배사 연락처 알려주세요.,in_progress,low,2025-12-12T04:31:45.091709Z,
TICKET_1764477105,user_085,ORD_20251114_0455,exchange,다른 상품으로 교환 가능한가요?,closed,low,2025-11-30T04:31:45.091709Z,2025-12-01T04:31:45.091709Z
TICKET_1766377905,user_084,ORD_20250928_0434,complaint,환불 처리가 너무 늦습니다.,closed,high,2025-12-22T04:31:45.091709Z,2025-12-23T04:31:45.091709Z
TICKET_1764822705,user_013,ORD_20251007_0091,exchange,다른 상품으로 교환 가능한가요?,closed,high,2025-12-04T04:31:45.091709Z,2025-12-05T04:31:45.091709Z
TICKET_1764304305,user_070,ORD_20251116_0241,shipping,배송이 너무 오래 걸립니다.,closed,low,2025-11-28T04:31:45.091709Z,2025-12-05T04:31:45.091709Z
TICKET_1762317105,user_076,ORD_20251007_0431,product_inquiry,이 상품 재입고 언제 되나요?,open,normal,2025-11-05T04:31:45.091709Z,
TICKET_1764045105,user_089,,refund,색상이 사진과 달라서 환불해주세요.,open,low,2025-11-25T04:31:45.091709Z,
TICKET_1761798705,user_027,ORD_20251008_0107,refund,주문한 상품과 다른 상품이 와서 환불 원합니다.,open,low,2025-10-30T04:31:45.091709Z,
TICKET_1765168305,user_048,ORD_20251211_0303,refund,상품 불량으로 환불 요청합니다.,closed,urgent,2025-12-08T04:31:45.091709Z,2025-12-12T04:31:45.091709Z
TICKET_1763181105,user_064,ORD_20251007_0399,shipping,배송지 변경 가능한가요?,closed,low,2025-11-15T04:31:45.091709Z,2025-11-18T04:31:45.091709Z
TICKET_1764822705,user_006,ORD_20251011_0099,refund,단순 변심으로 환불하고 싶습니다.,open,normal,2025-12-04T04:31:45.091709Z,
TICKET_1762489905,user_028,ORD_20251216_0489,exchange,색상 교환하고 싶습니다.,open,high,2025-11-07T04:31:45.091709Z,
TICKET_1761280305,user_085,ORD_20251112_0201,shipping,배송이 너무 오래 걸립니다.,closed,normal,2025-10-24T04:31:45.091709Z,2025-10-30T04:31:45.091709Z
TICKET-1766464338,user_001,ORD_20251201_001,refund,상품 불량으로 환불 요청합니다.,open,normal,2025-12-23T04:32:18Z,
TICKET-1766471740,user_001,ORD_20251221_0217,other,상품이 불량이라 환불 요청합니다,open,normal,2025-12-23T06:35:40Z,
